feature1,feature2
-0.99924767,12.937777
-0.99924767,12.937777
-0.99924767,12.937777
-0.99924767,12.937777
-0.9992448,13.0002775
-0.99924767,12.937777
-10.56039,29.56362
-10.560368,30.06363
-10.622826,30.87615
-10.747788,31.501167
-10.935295,31.126171
8.940697e-05,-2.4497509e-05
8.940697e-05,-2.4497509e-05
8.940697e-05,-2.4497509e-05
8.940697e-05,-2.4497509e-05
8.940697e-05,-2.4497509e-05
8.940697e-05,-2.4497509e-05
8.940697e-05,-2.4497509e-05
8.940697e-05,-2.4497509e-05
-0.062316656,1.9375159
-0.124789596,2.4375288
-1.1247631,1.6875694
-1.5622772,0.81257665
-1.7497948,0.18757519
-1.8122967,0.06257641
-1.4998158,0.062559426
-1.2498313,0.06254539
-1.0623428,0.06253493
-0.9373504,0.06252816
-0.812358,0.06252137
-0.74986184,0.06251782
-0.6873654,0.062514365
-0.6873654,0.062514365
-0.62484896,0.5000193
-0.6248199,1.1250312
-2.7495794,3.5001934
-2.7495794,3.5001934
-2.9995613,3.5627084
-3.062078,3.1252034
-3.0620923,2.8126974
-2.999596,2.812694
-2.9371057,2.6876884
-2.8121195,2.5626788
-2.8121133,2.6876814
-2.7496204,2.6251764
-1.0616916,14.062801
-1.0617005,13.8752985
-1.0617033,13.812798
-1.0617033,13.812798
-1.0617033,13.812798
-1.0617033,13.812798
-1.0617033,13.812798
-1.0617062,13.750296
-0.99921,13.750293
-1.0617062,13.750296
-1.0617033,13.812798
-1.0617033,13.812798
-1.0617005,13.8752985
-0.9992043,13.875295
-0.99921,13.750293
-10.68533,30.688646
-10.747821,30.813654
-16.685097,27.813925
-16.685097,27.813925
-10.747827,30.68865
-10.310434,28.938595
-9.810547,27.188534
-9.810625,25.501001
-9.560542,27.626026
-9.560542,27.626026
-9.6854725,28.93856
-9.9354315,29.501081
-10.18539,30.063608
-10.122974,28.31357
-10.1229925,27.938564
-10.12295,28.876083
-9.810549,27.126032
-9.810619,25.626005
-9.560592,26.563509
-18.185017,27.564003
-18.185017,27.564003
-9.31058,27.126003
-10.12292,29.501093
-10.12292,29.501093
-10.12292,29.501093
-10.12292,29.501093
-10.31036,30.563625
-0.9992157,13.62529
-0.9992157,13.62529
-0.9992157,13.62529
-10.435448,28.501095
-9.685575,26.751019
-9.685654,25.063486
-9.435714,24.063452
-9.185772,23.188421
-8.935835,22.125889
-8.623393,21.313354
-8.123455,20.625814
-8.123455,20.625814
-7.935969,20.563303
-1.0617062,13.750296
-1.0617062,13.750296
-0.99921,13.750293
-0.31167364,15.437787
-0.31167054,15.500287
-0.31167054,15.500287
-0.3116678,15.56279
-0.99921,13.750293
-0.99921,13.750293
-10.372905,29.501106
-10.435424,29.001104
-10.435412,29.251108
-10.435363,30.313627
-10.560329,30.876146
-10.747777,31.751171
8.940697e-05,-2.4497509e-05
-0.99922144,13.500288
-0.99922144,13.500288
-0.9992274,13.375285
-0.9992274,13.375285
-15.74769,27.063858
-15.74769,27.063858
-0.3116647,15.62529
-0.3116647,15.62529
-9.43563,25.87599
-9.43563,25.87599
-9.435553,27.56352
-9.685493,28.501053
-9.935457,28.938574
-10.122952,28.81358
-9.810552,27.063534
-9.810474,28.751064
-10.060441,29.126083
-9.8730345,27.37604
-9.81054,27.313538
-9.873058,26.876028
-9.81054,27.313538
-9.810523,27.688543
-9.872979,28.56356
-9.748068,26.813524
-9.185684,25.063457
-9.185646,25.875975
-9.310552,27.751019
-9.622986,28.751055
-10.122902,29.876102
-10.122902,29.876102
-0.31167054,15.500287
-10.560336,30.75114
-0.31167364,15.437787
-0.31167364,15.437787
-0.31167364,15.437787
-0.31167364,15.437787
-0.31167364,15.437787
-0.31167638,15.375285
-10.935348,30.001146
-0.3116647,15.62529
-0.3122567,15.749828
-0.3122567,15.749828
-0.3122567,15.749828
-8.873334,22.250887
-8.685883,21.43836
-7.873487,20.250792
-7.873487,20.250792
-7.873487,20.250792
-7.873487,20.250792
-9.373099,26.626001
-7.748492,20.313288
-0.31167364,15.437787
-0.31167364,15.437787
-7.685984,20.56329
-7.7484775,20.625793
-7.810968,20.7508
-7.810968,20.7508
-7.8734612,20.813305
-7.8734584,20.875805
-8.873142,26.375967
-8.873142,26.375967
-7.935963,20.688305
-7.9359603,20.750805
-7.9359574,20.813307
-7.9359603,20.750805
-7.9984593,20.688309
-0.9992331,13.250282
-0.9992331,13.250282
-0.99923027,13.312784
-0.99923027,13.312784
-0.9992274,13.375285
-0.9992274,13.375285
-0.9992331,13.250282
-0.9992331,13.250282
-0.999236,13.187781
-0.9992417,13.062779
-0.9992417,13.062779
-0.9992417,13.062779
-0.9992448,13.0002775
-0.99924767,12.937777
-0.99924767,12.937777
-0.99924767,12.937777
-0.9992448,13.0002775
-0.9992391,13.12528
-0.9992331,13.250282
-0.9992331,13.250282
-0.99923027,13.312784
-0.99923027,13.312784
-10.622849,30.376139
-10.747853,30.12614
-10.810306,31.063663
-10.810306,31.063663
-10.935319,30.626162
-10.935332,30.313654
-10.872823,30.626158
-10.310438,28.876093
-9.810549,27.126032
-9.310661,25.375969
-9.310549,27.81352
-9.685546,27.376028
-9.748004,28.188549
-9.560596,26.438503
-9.623172,24.750977
-9.373234,23.750942
-9.123291,22.813412
-8.87334,22.125883
-8.623375,21.68836
-8.37344,20.625828
-8.1234455,20.813318
-7.9359517,20.93831
8.940697e-05,-2.4497509e-05
-7.8734384,21.313314
-7.8734317,21.438314
-7.9359193,21.625822
-7.9984097,21.75083
-8.060901,21.875835
-8.123394,21.93834
-8.185884,22.063345
-8.248378,22.12585
-8.31087,22.188354
-8.31087,22.188354
-8.373384,21.813349
-8.373382,21.87585
-8.373379,21.938353
-8.373376,22.000854
-8.373372,22.063354
-8.373372,22.063354
-8.373332,22.938372
-8.4982815,23.875896
-8.68572,24.938427
-8.873162,25.938456
-9.185585,27.188498
-9.310661,25.375969
-9.310743,23.625937
-9.0608015,22.688406
-8.81084,22.188381
-8.623366,21.875866
-8.4358835,21.750853
-8.310897,21.625843
-8.1859045,21.625835
-8.123408,21.625834
-8.123405,21.688334
-8.123405,21.688334
-8.123403,21.750835
8.940697e-05,-2.4497509e-05
-0.99925053,12.875276
-0.99925053,12.875276
-0.99925053,12.875276
-10.747847,30.251143
-10.747812,31.001158
-10.810285,31.501171
-10.9352455,32.18869
-11.122731,32.251205
-11.247677,33.251232
-11.060269,31.501184
-0.99924767,12.937777
-0.99924767,12.937777
-0.99924767,12.937777
-0.99925053,12.875276
-0.99925053,12.875276
-0.99924767,12.937777
-0.99924767,12.937777
-0.99924767,12.937777
-0.99924767,12.937777
-0.9992448,13.0002775
-0.99924767,12.937777
-10.56039,29.56362
-10.560368,30.06363
-10.622826,30.87615
-10.747788,31.501167
-10.935295,31.126171
8.940697e-05,-2.4497509e-05
8.940697e-05,-2.4497509e-05
8.940697e-05,-2.4497509e-05
8.940697e-05,-2.4497509e-05
8.940697e-05,-2.4497509e-05
8.940697e-05,-2.4497509e-05
8.940697e-05,-2.4497509e-05
8.940697e-05,-2.4497509e-05
-0.062316656,1.9375159
-0.124789596,2.4375288
-1.1247631,1.6875694
-1.5622772,0.81257665
-1.7497948,0.18757519
-1.8122967,0.06257641
-1.4998158,0.062559426
-1.2498313,0.06254539
-1.0623428,0.06253493
-0.9373504,0.06252816
-0.812358,0.06252137
-0.74986184,0.06251782
-0.6873654,0.062514365
-0.6873654,0.062514365
-0.62484896,0.5000193
-0.6248199,1.1250312
-2.7495794,3.5001934
-2.7495794,3.5001934
-2.9995613,3.5627084
-3.062078,3.1252034
-3.0620923,2.8126974
-2.999596,2.812694
-2.9371057,2.6876884
-2.8121195,2.5626788
-2.8121133,2.6876814
-2.7496204,2.6251764
-1.0616916,14.062801
-1.0617005,13.8752985
-1.0617033,13.812798
-1.0617033,13.812798
-1.0617033,13.812798
-1.0617033,13.812798
-1.0617033,13.812798
-1.0617062,13.750296
-0.99921,13.750293
-1.0617062,13.750296
-1.0617033,13.812798
-1.0617033,13.812798
-1.0617005,13.8752985
-0.9992043,13.875295
-0.99921,13.750293
-10.68533,30.688646
-10.747821,30.813654
-16.685097,27.813925
-16.685097,27.813925
-10.747827,30.68865
-10.310434,28.938595
-9.810547,27.188534
-9.810625,25.501001
-9.560542,27.626026
-9.560542,27.626026
-9.6854725,28.93856
-9.9354315,29.501081
-10.18539,30.063608
-10.122974,28.31357
-10.1229925,27.938564
-10.12295,28.876083
-9.810549,27.126032
-9.810619,25.626005
-9.560592,26.563509
-18.185017,27.564003
-18.185017,27.564003
-9.31058,27.126003
-10.12292,29.501093
-10.12292,29.501093
-10.12292,29.501093
-10.12292,29.501093
-10.31036,30.563625
-0.9992157,13.62529
-0.9992157,13.62529
-0.9992157,13.62529
-10.435448,28.501095
-9.685575,26.751019
-9.685654,25.063486
-9.435714,24.063452
-9.185772,23.188421
-8.935835,22.125889
-8.623393,21.313354
-8.123455,20.625814
-8.123455,20.625814
-7.935969,20.563303
-1.0617062,13.750296
-1.0617062,13.750296
-0.99921,13.750293
-0.31167364,15.437787
-0.31167054,15.500287
-0.31167054,15.500287
-0.3116678,15.56279
-0.99921,13.750293
-0.99921,13.750293
-10.372905,29.501106
-10.435424,29.001104
-10.435412,29.251108
-10.435363,30.313627
-10.560329,30.876146
-10.747777,31.751171
8.940697e-05,-2.4497509e-05
-0.99922144,13.500288
-0.99922144,13.500288
-0.9992274,13.375285
-0.9992274,13.375285
-15.74769,27.063858
-15.74769,27.063858
-0.3116647,15.62529
-0.3116647,15.62529
-9.43563,25.87599
-9.43563,25.87599
-9.435553,27.56352
-9.685493,28.501053
-9.935457,28.938574
-10.122952,28.81358
-9.810552,27.063534
-9.810474,28.751064
-10.060441,29.126083
-9.8730345,27.37604
-9.81054,27.313538
-9.873058,26.876028
-9.81054,27.313538
-9.810523,27.688543
-9.872979,28.56356
-9.748068,26.813524
-9.185684,25.063457
-9.185646,25.875975
-9.310552,27.751019
-9.622986,28.751055
-10.122902,29.876102
-10.122902,29.876102
-0.31167054,15.500287
-10.560336,30.75114
-0.31167364,15.437787
-0.31167364,15.437787
-0.31167364,15.437787
-0.31167364,15.437787
-0.31167364,15.437787
-0.31167638,15.375285
-10.935348,30.001146
-0.3116647,15.62529
-0.3122567,15.749828
-0.3122567,15.749828
-0.3122567,15.749828
-8.873334,22.250887
-8.685883,21.43836
-7.873487,20.250792
-7.873487,20.250792
-7.873487,20.250792
-7.873487,20.250792
-9.373099,26.626001
-7.748492,20.313288
-0.31167364,15.437787
-0.31167364,15.437787
-7.685984,20.56329
-7.7484775,20.625793
-7.810968,20.7508
-7.810968,20.7508
-7.8734612,20.813305
-7.8734584,20.875805
-8.873142,26.375967
-8.873142,26.375967
-7.935963,20.688305
-7.9359603,20.750805
-7.9359574,20.813307
-7.9359603,20.750805
-7.9984593,20.688309
-0.9992331,13.250282
-0.9992331,13.250282
-0.99923027,13.312784
-0.99923027,13.312784
-0.9992274,13.375285
-0.9992274,13.375285
-0.9992331,13.250282
-0.9992331,13.250282
-0.999236,13.187781
-0.9992417,13.062779
-0.9992417,13.062779
-0.9992417,13.062779
-0.9992448,13.0002775
-0.99924767,12.937777
-0.99924767,12.937777
-0.99924767,12.937777
-0.9992448,13.0002775
-0.9992391,13.12528
-0.9992331,13.250282
-0.9992331,13.250282
-0.99923027,13.312784
-0.99923027,13.312784
-10.622849,30.376139
-10.747853,30.12614
-10.810306,31.063663
-10.810306,31.063663
-10.935319,30.626162
-10.935332,30.313654
-10.872823,30.626158
-10.310438,28.876093
-9.810549,27.126032
-9.310661,25.375969
-9.310549,27.81352
-9.685546,27.376028
-9.748004,28.188549
-9.560596,26.438503
-9.623172,24.750977
-9.373234,23.750942
-9.123291,22.813412
-8.87334,22.125883
-8.623375,21.68836
-8.37344,20.625828
-8.1234455,20.813318
-7.9359517,20.93831
8.940697e-05,-2.4497509e-05
-7.8734384,21.313314
-7.8734317,21.438314
-7.9359193,21.625822
-7.9984097,21.75083
-8.060901,21.875835
-8.123394,21.93834
-8.185884,22.063345
-8.248378,22.12585
-8.31087,22.188354
-8.31087,22.188354
-8.373384,21.813349
-8.373382,21.87585
-8.373379,21.938353
-8.373376,22.000854
-8.373372,22.063354
-8.373372,22.063354
-8.373332,22.938372
-8.4982815,23.875896
-8.68572,24.938427
-8.873162,25.938456
-9.185585,27.188498
-9.310661,25.375969
-9.310743,23.625937
-9.0608015,22.688406
-8.81084,22.188381
-8.623366,21.875866
-8.4358835,21.750853
-8.310897,21.625843
-8.1859045,21.625835
-8.123408,21.625834
-8.123405,21.688334
-8.123405,21.688334
-8.123403,21.750835
8.940697e-05,-2.4497509e-05
-0.99925053,12.875276
-0.99925053,12.875276
-0.99925053,12.875276
-10.747847,30.251143
-10.747812,31.001158
-10.810285,31.501171
-10.9352455,32.18869
-11.122731,32.251205
-11.247677,33.251232
-11.060269,31.501184
-0.99924767,12.937777
-0.99924767,12.937777
-0.99924767,12.937777
-0.99925053,12.875276
-0.99925053,12.875276
-0.99924767,12.937777
-0.99924767,12.937777
-0.99924767,12.937777
-0.99924767,12.937777
-0.9992448,13.0002775
-0.99924767,12.937777
-10.56039,29.56362
-10.560368,30.06363
-10.622826,30.87615
-10.747788,31.501167
-10.935295,31.126171
8.940697e-05,-2.4497509e-05
8.940697e-05,-2.4497509e-05
8.940697e-05,-2.4497509e-05
8.940697e-05,-2.4497509e-05
8.940697e-05,-2.4497509e-05
8.940697e-05,-2.4497509e-05
8.940697e-05,-2.4497509e-05
8.940697e-05,-2.4497509e-05
-0.062316656,1.9375159
-0.124789596,2.4375288
-1.1247631,1.6875694
-1.5622772,0.81257665
-1.7497948,0.18757519
-1.8122967,0.06257641
-1.4998158,0.062559426
-1.2498313,0.06254539
-1.0623428,0.06253493
-0.9373504,0.06252816
-0.812358,0.06252137
-0.74986184,0.06251782
-0.6873654,0.062514365
-0.6873654,0.062514365
-0.62484896,0.5000193
-0.6248199,1.1250312
-2.7495794,3.5001934
-2.7495794,3.5001934
-2.9995613,3.5627084
-3.062078,3.1252034
-3.0620923,2.8126974
-2.999596,2.812694
-2.9371057,2.6876884
-2.8121195,2.5626788
-2.8121133,2.6876814
-2.7496204,2.6251764
-1.0616916,14.062801
-1.0617005,13.8752985
-1.0617033,13.812798
-1.0617033,13.812798
-1.0617033,13.812798
-1.0617033,13.812798
-1.0617033,13.812798
-1.0617062,13.750296
-0.99921,13.750293
-1.0617062,13.750296
-1.0617033,13.812798
-1.0617033,13.812798
-1.0617005,13.8752985
-0.9992043,13.875295
-0.99921,13.750293
-10.68533,30.688646
-10.747821,30.813654
-16.685097,27.813925
-16.685097,27.813925
-10.747827,30.68865
-10.310434,28.938595
-9.810547,27.188534
-9.810625,25.501001
-9.560542,27.626026
-9.560542,27.626026
-9.6854725,28.93856
-9.9354315,29.501081
-10.18539,30.063608
-10.122974,28.31357
-10.1229925,27.938564
-10.12295,28.876083
-9.810549,27.126032
-9.810619,25.626005
-9.560592,26.563509
-18.185017,27.564003
-18.185017,27.564003
-9.31058,27.126003
-10.12292,29.501093
-10.12292,29.501093
-10.12292,29.501093
-10.12292,29.501093
-10.31036,30.563625
-0.9992157,13.62529
-0.9992157,13.62529
-0.9992157,13.62529
-10.435448,28.501095
-9.685575,26.751019
-9.685654,25.063486
-9.435714,24.063452
-9.185772,23.188421
-8.935835,22.125889
-8.623393,21.313354
-8.123455,20.625814
-8.123455,20.625814
-7.935969,20.563303
-1.0617062,13.750296
-1.0617062,13.750296
-0.99921,13.750293
-0.31167364,15.437787
-0.31167054,15.500287
-0.31167054,15.500287
-0.3116678,15.56279
-0.99921,13.750293
-0.99921,13.750293
-10.372905,29.501106
-10.435424,29.001104
-10.435412,29.251108
-10.435363,30.313627
-10.560329,30.876146
-10.747777,31.751171
8.940697e-05,-2.4497509e-05
-0.99922144,13.500288
-0.99922144,13.500288
-0.9992274,13.375285
-0.9992274,13.375285
-15.74769,27.063858
-15.74769,27.063858
-0.3116647,15.62529
-0.3116647,15.62529
-9.43563,25.87599
-9.43563,25.87599
-9.435553,27.56352
-9.685493,28.501053
-9.935457,28.938574
-10.122952,28.81358
-9.810552,27.063534
-9.810474,28.751064
-10.060441,29.126083
-9.8730345,27.37604
-9.81054,27.313538
-9.873058,26.876028
-9.81054,27.313538
-9.810523,27.688543
-9.872979,28.56356
-9.748068,26.813524
-9.185684,25.063457
-9.185646,25.875975
-9.310552,27.751019
-9.622986,28.751055
-10.122902,29.876102
-10.122902,29.876102
-0.31167054,15.500287
-10.560336,30.75114
-0.31167364,15.437787
-0.31167364,15.437787
-0.31167364,15.437787
-0.31167364,15.437787
-0.31167364,15.437787
-0.31167638,15.375285
-10.935348,30.001146
-0.3116647,15.62529
-0.3122567,15.749828
-0.3122567,15.749828
-0.3122567,15.749828
-8.873334,22.250887
-8.685883,21.43836
-7.873487,20.250792
-7.873487,20.250792
-7.873487,20.250792
-7.873487,20.250792
-9.373099,26.626001
-7.748492,20.313288
-0.31167364,15.437787
-0.31167364,15.437787
-7.685984,20.56329
-7.7484775,20.625793
-7.810968,20.7508
-7.810968,20.7508
-7.8734612,20.813305
-7.8734584,20.875805
-8.873142,26.375967
-8.873142,26.375967
-7.935963,20.688305
-7.9359603,20.750805
-7.9359574,20.813307
-7.9359603,20.750805
-7.9984593,20.688309
-0.9992331,13.250282
-0.9992331,13.250282
-0.99923027,13.312784
-0.99923027,13.312784
-0.9992274,13.375285
-0.9992274,13.375285
-0.9992331,13.250282
-0.9992331,13.250282
-0.999236,13.187781
-0.9992417,13.062779
-0.9992417,13.062779
-0.9992417,13.062779
-0.9992448,13.0002775
-0.99924767,12.937777
-0.99924767,12.937777
-0.99924767,12.937777
-0.9992448,13.0002775
-0.9992391,13.12528
-0.9992331,13.250282
-0.9992331,13.250282
-0.99923027,13.312784
-0.99923027,13.312784
-10.622849,30.376139
-10.747853,30.12614
-10.810306,31.063663
-10.810306,31.063663
-10.935319,30.626162
-10.935332,30.313654
-10.872823,30.626158
-10.310438,28.876093
-9.810549,27.126032
-9.310661,25.375969
-9.310549,27.81352
-9.685546,27.376028
-9.748004,28.188549
-9.560596,26.438503
-9.623172,24.750977
-9.373234,23.750942
-9.123291,22.813412
-8.87334,22.125883
-8.623375,21.68836
-8.37344,20.625828
-8.1234455,20.813318
-7.9359517,20.93831
8.940697e-05,-2.4497509e-05
-7.8734384,21.313314
-7.8734317,21.438314
-7.9359193,21.625822
-7.9984097,21.75083
-8.060901,21.875835
-8.123394,21.93834
-8.185884,22.063345
-8.248378,22.12585
-8.31087,22.188354
-8.31087,22.188354
-8.373384,21.813349
-8.373382,21.87585
-8.373379,21.938353
-8.373376,22.000854
-8.373372,22.063354
-8.373372,22.063354
-8.373332,22.938372
-8.4982815,23.875896
-8.68572,24.938427
-8.873162,25.938456
-9.185585,27.188498
-9.310661,25.375969
-9.310743,23.625937
-9.0608015,22.688406
-8.81084,22.188381
-8.623366,21.875866
-8.4358835,21.750853
-8.310897,21.625843
-8.1859045,21.625835
-8.123408,21.625834
-8.123405,21.688334
-8.123405,21.688334
-8.123403,21.750835
8.940697e-05,-2.4497509e-05
-0.99925053,12.875276
-0.99925053,12.875276
-0.99925053,12.875276
-10.747847,30.251143
-10.747812,31.001158
-10.810285,31.501171
-10.9352455,32.18869
-11.122731,32.251205
-11.247677,33.251232
-11.060269,31.501184
-0.99924767,12.937777
-0.99924767,12.937777
-0.99924767,12.937777
-0.99925053,12.875276
-0.99925053,12.875276
-0.99924767,12.937777
-0.99924767,12.937777
-0.99924767,12.937777
-0.99924767,12.937777
-0.9992448,13.0002775
-0.99924767,12.937777
-10.56039,29.56362
-10.560368,30.06363
-10.622826,30.87615
-10.747788,31.501167
-10.935295,31.126171
8.940697e-05,-2.4497509e-05
8.940697e-05,-2.4497509e-05
8.940697e-05,-2.4497509e-05
8.940697e-05,-2.4497509e-05
8.940697e-05,-2.4497509e-05
8.940697e-05,-2.4497509e-05
8.940697e-05,-2.4497509e-05
8.940697e-05,-2.4497509e-05
-0.062316656,1.9375159
-0.124789596,2.4375288
-1.1247631,1.6875694
-1.5622772,0.81257665
-1.7497948,0.18757519
-1.8122967,0.06257641
-1.4998158,0.062559426
-1.2498313,0.06254539
-1.0623428,0.06253493
-0.9373504,0.06252816
-0.812358,0.06252137
-0.74986184,0.06251782
-0.6873654,0.062514365
-0.6873654,0.062514365
-0.62484896,0.5000193
-0.6248199,1.1250312
-2.7495794,3.5001934
-2.7495794,3.5001934
-2.9995613,3.5627084
-3.062078,3.1252034
-3.0620923,2.8126974
-2.999596,2.812694
-2.9371057,2.6876884
-2.8121195,2.5626788
-2.8121133,2.6876814
-2.7496204,2.6251764
-1.0616916,14.062801
-1.0617005,13.8752985
-1.0617033,13.812798
-1.0617033,13.812798
-1.0617033,13.812798
-1.0617033,13.812798
-1.0617033,13.812798
-1.0617062,13.750296
-0.99921,13.750293
-1.0617062,13.750296
-1.0617033,13.812798
-1.0617033,13.812798
-1.0617005,13.8752985
-0.9992043,13.875295
-0.99921,13.750293
-10.68533,30.688646
-10.747821,30.813654
-16.685097,27.813925
-16.685097,27.813925
-10.747827,30.68865
-10.310434,28.938595
-9.810547,27.188534
-9.810625,25.501001
-9.560542,27.626026
-9.560542,27.626026
-9.6854725,28.93856
-9.9354315,29.501081
-10.18539,30.063608
-10.122974,28.31357
-10.1229925,27.938564
-10.12295,28.876083
-9.810549,27.126032
-9.810619,25.626005
-9.560592,26.563509
-18.185017,27.564003
-18.185017,27.564003
-9.31058,27.126003
-10.12292,29.501093
-10.12292,29.501093
-10.12292,29.501093
-10.12292,29.501093
-10.31036,30.563625
-0.9992157,13.62529
-0.9992157,13.62529
-0.9992157,13.62529
-10.435448,28.501095
-9.685575,26.751019
-9.685654,25.063486
-9.435714,24.063452
-9.185772,23.188421
-8.935835,22.125889
-8.623393,21.313354
-8.123455,20.625814
-8.123455,20.625814
-7.935969,20.563303
-1.0617062,13.750296
-1.0617062,13.750296
-0.99921,13.750293
-0.31167364,15.437787
-0.31167054,15.500287
-0.31167054,15.500287
-0.3116678,15.56279
-0.99921,13.750293
-0.99921,13.750293
-10.372905,29.501106
-10.435424,29.001104
-10.435412,29.251108
-10.435363,30.313627
-10.560329,30.876146
-10.747777,31.751171
8.940697e-05,-2.4497509e-05
-0.99922144,13.500288
-0.99922144,13.500288
-0.9992274,13.375285
-0.9992274,13.375285
-15.74769,27.063858
-15.74769,27.063858
-0.3116647,15.62529
-0.3116647,15.62529
-9.43563,25.87599
-9.43563,25.87599
-9.435553,27.56352
-9.685493,28.501053
-9.935457,28.938574
-10.122952,28.81358
-9.810552,27.063534
-9.810474,28.751064
-10.060441,29.126083
-9.8730345,27.37604
-9.81054,27.313538
-9.873058,26.876028
-9.81054,27.313538
-9.810523,27.688543
-9.872979,28.56356
-9.748068,26.813524
-9.185684,25.063457
-9.185646,25.875975
-9.310552,27.751019
-9.622986,28.751055
-10.122902,29.876102
-10.122902,29.876102
-0.31167054,15.500287
-10.560336,30.75114
-0.31167364,15.437787
-0.31167364,15.437787
-0.31167364,15.437787
-0.31167364,15.437787
-0.31167364,15.437787
-0.31167638,15.375285
-10.935348,30.001146
-0.3116647,15.62529
-0.3122567,15.749828
-0.3122567,15.749828
-0.3122567,15.749828
-8.873334,22.250887
-8.685883,21.43836
-7.873487,20.250792
-7.873487,20.250792
-7.873487,20.250792
-7.873487,20.250792
-9.373099,26.626001
-7.748492,20.313288
-0.31167364,15.437787
-0.31167364,15.437787
-7.685984,20.56329
-7.7484775,20.625793
-7.810968,20.7508
-7.810968,20.7508
-7.8734612,20.813305
-7.8734584,20.875805
-8.873142,26.375967
-8.873142,26.375967
-7.935963,20.688305
-7.9359603,20.750805
-7.9359574,20.813307
-7.9359603,20.750805
-7.9984593,20.688309
-0.9992331,13.250282
-0.9992331,13.250282
-0.99923027,13.312784
-0.99923027,13.312784
-0.9992274,13.375285
-0.9992274,13.375285
-0.9992331,13.250282
-0.9992331,13.250282
-0.999236,13.187781
-0.9992417,13.062779
-0.9992417,13.062779
-0.9992417,13.062779
-0.9992448,13.0002775
-0.99924767,12.937777
-0.99924767,12.937777
-0.99924767,12.937777
-0.9992448,13.0002775
-0.9992391,13.12528
-0.9992331,13.250282
-0.9992331,13.250282
-0.99923027,13.312784
-0.99923027,13.312784
-10.622849,30.376139
-10.747853,30.12614
-10.810306,31.063663
-10.810306,31.063663
-10.935319,30.626162
-10.935332,30.313654
-10.872823,30.626158
-10.310438,28.876093
-9.810549,27.126032
-9.310661,25.375969
-9.310549,27.81352
-9.685546,27.376028
-9.748004,28.188549
-9.560596,26.438503
-9.623172,24.750977
-9.373234,23.750942
-9.123291,22.813412
-8.87334,22.125883
-8.623375,21.68836
-8.37344,20.625828
-8.1234455,20.813318
-7.9359517,20.93831
8.940697e-05,-2.4497509e-05
-7.8734384,21.313314
-7.8734317,21.438314
-7.9359193,21.625822
-7.9984097,21.75083
-8.060901,21.875835
-8.123394,21.93834
-8.185884,22.063345
-8.248378,22.12585
-8.31087,22.188354
-8.31087,22.188354
-8.373384,21.813349
-8.373382,21.87585
-8.373379,21.938353
-8.373376,22.000854
-8.373372,22.063354
-8.373372,22.063354
-8.373332,22.938372
-8.4982815,23.875896
-8.68572,24.938427
-8.873162,25.938456
-9.185585,27.188498
-9.310661,25.375969
-9.310743,23.625937
-9.0608015,22.688406
-8.81084,22.188381
-8.623366,21.875866
-8.4358835,21.750853
-8.310897,21.625843
-8.1859045,21.625835
-8.123408,21.625834
-8.123405,21.688334
-8.123405,21.688334
-8.123403,21.750835
8.940697e-05,-2.4497509e-05
-0.99925053,12.875276
-0.99925053,12.875276
-0.99925053,12.875276
-10.747847,30.251143
-10.747812,31.001158
-10.810285,31.501171
-10.9352455,32.18869
-11.122731,32.251205
-11.247677,33.251232
-11.060269,31.501184
-0.99924767,12.937777
-0.99924767,12.937777
-0.99924767,12.937777
-0.99925053,12.875276
-0.99925053,12.875276
-0.99924767,12.937777
-0.99924767,12.937777
-0.99924767,12.937777
-0.99924767,12.937777
-0.9992448,13.0002775
-0.99924767,12.937777
-10.56039,29.56362
-10.560368,30.06363
-10.622826,30.87615
-10.747788,31.501167
-10.935295,31.126171
8.940697e-05,-2.4497509e-05
8.940697e-05,-2.4497509e-05
8.940697e-05,-2.4497509e-05
8.940697e-05,-2.4497509e-05
8.940697e-05,-2.4497509e-05
8.940697e-05,-2.4497509e-05
8.940697e-05,-2.4497509e-05
8.940697e-05,-2.4497509e-05
-0.062316656,1.9375159
-0.124789596,2.4375288
-1.1247631,1.6875694
-1.5622772,0.81257665
-1.7497948,0.18757519
-1.8122967,0.06257641
-1.4998158,0.062559426
-1.2498313,0.06254539
-1.0623428,0.06253493
-0.9373504,0.06252816
-0.812358,0.06252137
-0.74986184,0.06251782
-0.6873654,0.062514365
-0.6873654,0.062514365
-0.62484896,0.5000193
-0.6248199,1.1250312
-2.7495794,3.5001934
-2.7495794,3.5001934
-2.9995613,3.5627084
-3.062078,3.1252034
-3.0620923,2.8126974
-2.999596,2.812694
-2.9371057,2.6876884
-2.8121195,2.5626788
-2.8121133,2.6876814
-2.7496204,2.6251764
-1.0616916,14.062801
-1.0617005,13.8752985
-1.0617033,13.812798
-1.0617033,13.812798
-1.0617033,13.812798
-1.0617033,13.812798
-1.0617033,13.812798
-1.0617062,13.750296
-0.99921,13.750293
-1.0617062,13.750296
-1.0617033,13.812798
-1.0617033,13.812798
-1.0617005,13.8752985
-0.9992043,13.875295
-0.99921,13.750293
-10.68533,30.688646
-10.747821,30.813654
-16.685097,27.813925
-16.685097,27.813925
-10.747827,30.68865
-10.310434,28.938595
-9.810547,27.188534
-9.810625,25.501001
-9.560542,27.626026
-9.560542,27.626026
-9.6854725,28.93856
-9.9354315,29.501081
-10.18539,30.063608
